caminho,categoria,descricao
results/tables/brnpdb_hiv_predictions.csv,Predição Final,MEHAC: score final por composto = 0.35·S1(mlp) + 0.30·S2(lp) + 0.25·S3(knn_hiv_frac) + 0.10·S4(struct). 18 compostos preditos ATIVOS de 147
results/tables/brnpdb_hiv_predictions_report.txt,Predição Final,Relatório textual do MEHAC com detalhamento de cada sinal por composto e lista de borderline (score 0.25-0.35)
results/tables/community_hiv_predictions.csv,Predição Final,Predição baseada exclusivamente em grafo: enriquecimento HIV da comunidade Louvain + distância BFS ao ativo mais próximo. 9 compostos ATIVOS.
results/tables/graph_analysis_report.txt,Análise de Grafo,Relatório completo do grafo k-NN: estatísticas (grau; componentes; ciclomático), top-10 hubs, Louvain (27 comunidades; Q=0.892), distâncias BFS
results/tables/louvain_node_communities.csv,Análise de Grafo,Mapeamento completo de todos os 41.274 nós → comunidade Louvain (no grafo k-NN original); inclui flags is_brnpdb e is_active
results/tables/community_chemical_profiles.csv,Análise de Comunidade,Perfil químico das 27 comunidades: descriptors RDKit (MW; LogP; TPSA; HBD/HBA; anéis); prevalência e enriquecimento relativo de 35 grupos funcionais; família química atribuída
results/tables/community_chemical_report.txt,Análise de Comunidade,Relatório legível dos perfis químicos com deltas vs. média global; grupos enriquecidos/depletados; compostos BrNPDB membros de cada comunidade
results/tables/community_chemical_families.csv,Análise de Comunidade,Família química nomeada para cada uma das 27 comunidades Louvain: nome baseado nos compostos BrNPDB reais (ex: fitoesterois; macrolida polienica; monoterpenos); taxa de enriquecimento HIV; explicação da nomenclatura
src/analysis/label_communities.py,Script,Gera community_chemical_families.csv: nomeia as 27 comunidades com base na inspeção manual dos nomes BrNPDB + deltas de descritores RDKit + enriquecimento relativo de grupos funcionais
results/gnnexplainer/brnpdb_explanations.csv,GNNExplainer,Por composto BrNPDB: hiv_prob (logit sigmoid do HIVModel); tier; índices e símbolos dos top-10 átomos mais importantes pelo GNNExplainer; fragmento SMILES da subestrutura explicativa
results/gnnexplainer/high_score_summary.txt,GNNExplainer,Relatório textual dos 15 compostos HIGH (consensus >= 0.5): nome; comunidade; prob HIV; átomos e fragmento SMILES
results/gnnexplainer/low_score_summary.txt,GNNExplainer,Relatório textual dos 94 compostos LOW (consensus < 0.3); ordenados do pior para o melhor score
results/gnnexplainer/brnpdb_structural_features.csv,Padrões Estruturais,Por composto: scaffold de Bemis-Murcko (SMILES do esqueleto); grupos funcionais (35 SMARTS); sumário de anéis aromáticos vs. alifáticos
results/gnnexplainer/community_structural_patterns.csv,Padrões Estruturais,Por comunidade (>=2 BrNPDB): MCS em SMARTS (subestrutura máxima comum); grupos funcionais em >50% dos membros; scaffolds compartilhados; consensus médio
results/gnnexplainer/community_patterns_report.txt,Padrões Estruturais,Versão narrativa legível do CSV acima listando compostos; MCS; grupos recorrentes e scaffolds por comunidade BrNPDB
