caminho,descricao
results/gnnexplainer/brnpdb_explanations.csv,"Por composto BrNPDB: hiv_prob (sigmoid do logit), consensus_score, tier (high/mid/low), índices dos top-10 átomos mais importantes pelo GNNExplainer, símbolos desses átomos, fragmento SMILES da subestrutura explicativa, SMILES completo"
results/gnnexplainer/high_score_summary.txt,"Relatório textual dos 15 compostos HIGH (consensus >= 0.5): nome, ID, comunidade, score, probabilidade HIV, átomos mais importantes e fragmento SMILES"
results/gnnexplainer/low_score_summary.txt,"Relatório textual dos 94 compostos LOW (consensus < 0.3): mesmos campos acima, ordenados do pior para o melhor score"
results/gnnexplainer/brnpdb_structural_features.csv,"Por composto: scaffold de Bemis-Murcko (SMILES do esqueleto), grupos funcionais detectados via 35 padrões SMARTS, sumário de anéis (aromáticos vs alifáticos e tamanhos)"
results/gnnexplainer/community_structural_patterns.csv,"Por comunidade com >= 2 compostos BrNPDB: MCS (subestrutura máxima comum em SMARTS), grupos funcionais recorrentes em > 50% dos membros, scaffolds compartilhados, consensus médio"
results/gnnexplainer/community_patterns_report.txt,"Versão legível do CSV acima: relatório narrativo por comunidade listando compostos, MCS, grupos recorrentes e scaffolds"
results/gnnexplainer/global_functional_group_prevalence.csv,"Tabela de prevalência global dos 15 grupos funcionais mais frequentes nos 147 compostos BrNPDB (contagem e % sobre 147)"
results/gnnexplainer/images/_grid_high.png,"Grid 3-colunas com os 15 compostos HIGH: estrutura 2D com átomos top-8 destacados em gradiente vermelho por importância GNNExplainer, legenda com scores e grupos funcionais"
results/gnnexplainer/images/_grid_mid.png,"Grid 3-colunas com os 35 compostos MID: mesma renderização do high"
results/gnnexplainer/images/_grid_low.png,"Grid 3-colunas com os 94 compostos LOW: mesma renderização"
results/gnnexplainer/images/high/,"Pasta com 15 PNGs individuais — compostos de consenso alto (>= 0.5). Cada imagem: estrutura com destaque vermelho nos átomos mais relevantes para a predição"
results/gnnexplainer/images/mid/,"Pasta com 35 PNGs individuais — compostos de consenso médio (0.3–0.5)"
results/gnnexplainer/images/low/,"Pasta com 94 PNGs individuais — compostos de consenso baixo (< 0.3). A maioria tem hiv_prob baixa; o destaque mostra quais fragmentos o modelo associa a inatividade"
results/gnnexplainer/images/communities/,"Pasta com 31 PNGs de grade por comunidade — apenas comunidades com >= 2 compostos BrNPDB, ordenados por consensus desc. Permite comparar visualmente estruturas de uma mesma comunidade"
src/analysis/gnnexplainer_brnpdb.py,"Script que roda GNNExplainer (PyG) nos 147 BrNPDB: carrega HIVModel, cria ModelWrapper, roda Explainer com GNNExplainer(epochs=200) e task_level=graph, extrai importâncias por átomo"
src/analysis/community_structural_patterns.py,"Script de mineração estrutural: Murcko scaffold (RDKit), MCS via rdFMCS.FindMCS (completeRingsOnly), 35 padrões SMARTS de grupos funcionais, agregação por comunidade"
src/analysis/visualize_explanations.py,"Script de renderização: re-executa GNNExplainer por composto, usa rdMolDraw2D.MolDraw2DCairo para destacar top-8 átomos em gradiente vermelho, monta grids por tier e por comunidade via PIL"
results/tables/brnpdb_hiv_predictions.csv,"RESULTADO FINAL: predição HIV-ativo/inativo para os 147 compostos BrNPDB via MEHAC (Multi-Evidence HIV Activity Classifier). Colunas: S1=mlp_norm, S2=lp_norm, S3=knn_hiv_frac, S4=struct_score, final_score, predicted_activity, confidence. 18 preditos ATIVOS, 129 INATIVOS."
results/tables/brnpdb_hiv_predictions_report.txt,"Relatório textual do MEHAC: fórmula do algoritmo, lista de 18 compostos preditos ATIVOS com scores detalhados por sinal, lista de borderline (score 0.25-0.35)"
src/analysis/hiv_activity_predictor.py,"Script MEHAC: combina S1 (mlp normalizado), S2 (lp normalizado), S3 (fração HIV-ativa nos vizinhos imediatos do GEXF), S4 (lift de grupos funcionais). final=0.35*S1+0.30*S2+0.25*S3+0.10*S4, threshold=0.35"
